Groupe d'aliments,Famille,Substance,Contribution_MB
Eaux,Contaminants inorganiques et minéraux,Vanadium,20
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Vanadium,3
Boissons alcoolisées,Contaminants inorganiques et minéraux,Vanadium,15
Café,Contaminants inorganiques et minéraux,Vanadium,6
Autres boissons chaudes,Contaminants inorganiques et minéraux,Vanadium,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Vanadium,2
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Vanadium,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Vanadium,3
Plats composés,Contaminants inorganiques et minéraux,Vanadium,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Vanadium,1
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Vanadium,0
Condiments et sauces,Contaminants inorganiques et minéraux,Vanadium,2
Aliments particuliers,Contaminants inorganiques et minéraux,Vanadium,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Nickel,4
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Nickel,0
Pâtes,Contaminants inorganiques et minéraux,Nickel,2
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Nickel,1
Viennoiserie,Contaminants inorganiques et minéraux,Nickel,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Nickel,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Nickel,2
Lait,Contaminants inorganiques et minéraux,Nickel,2
Ultra-frais laitier,Contaminants inorganiques et minéraux,Nickel,4
Fromages,Contaminants inorganiques et minéraux,Nickel,4
Oeufs et dérivés,Contaminants inorganiques et minéraux,Nickel,1
Beurre,Contaminants inorganiques et minéraux,Nickel,0
Huile,Contaminants inorganiques et minéraux,Nickel,0
Margarine,Contaminants inorganiques et minéraux,Nickel,0
Viande,Contaminants inorganiques et minéraux,Nickel,1
Volaille et gibier,Contaminants inorganiques et minéraux,Nickel,1
Abats,Contaminants inorganiques et minéraux,Nickel,0
Charcuterie,Contaminants inorganiques et minéraux,Nickel,1
Poissons,Contaminants inorganiques et minéraux,Nickel,0
Crustacés et mollusques,Contaminants inorganiques et minéraux,Nickel,0
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Nickel,7
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Nickel,4
Légumes secs,Contaminants inorganiques et minéraux,Nickel,1
Fruits,Contaminants inorganiques et minéraux,Nickel,8
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Nickel,2
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Nickel,2
Chocolat,Contaminants inorganiques et minéraux,Nickel,5
Sucres et dérivés,Contaminants inorganiques et minéraux,Nickel,1
Eaux,Contaminants inorganiques et minéraux,Nickel,8
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Nickel,2
Boissons alcoolisées,Contaminants inorganiques et minéraux,Nickel,8
Café,Contaminants inorganiques et minéraux,Nickel,6
Autres boissons chaudes,Contaminants inorganiques et minéraux,Nickel,4
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Nickel,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Nickel,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Nickel,3
Plats composés,Contaminants inorganiques et minéraux,Nickel,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Nickel,4
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Nickel,0
Condiments et sauces,Contaminants inorganiques et minéraux,Nickel,1
Aliments particuliers,Contaminants inorganiques et minéraux,Nickel,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Cobalt,9
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Cobalt,0
Pâtes,Contaminants inorganiques et minéraux,Cobalt,1
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Cobalt,1
Viennoiserie,Contaminants inorganiques et minéraux,Cobalt,2
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Cobalt,2
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Cobalt,2
Lait,Contaminants inorganiques et minéraux,Cobalt,3
Ultra-frais laitier,Contaminants inorganiques et minéraux,Cobalt,3
Fromages,Contaminants inorganiques et minéraux,Cobalt,4
Oeufs et dérivés,Contaminants inorganiques et minéraux,Cobalt,1
Beurre,Contaminants inorganiques et minéraux,Cobalt,2
Huile,Contaminants inorganiques et minéraux,Cobalt,0
Margarine,Contaminants inorganiques et minéraux,Cobalt,0
Viande,Contaminants inorganiques et minéraux,Cobalt,3
Volaille et gibier,Contaminants inorganiques et minéraux,Cobalt,1
Abats,Contaminants inorganiques et minéraux,Cobalt,1
Charcuterie,Contaminants inorganiques et minéraux,Cobalt,1
Poissons,Contaminants inorganiques et minéraux,Cobalt,1
Crustacés et mollusques,Contaminants inorganiques et minéraux,Cobalt,1
Légumes (hors pomme de terre),Contaminants inorganiques et minéraux,Cobalt,5
Pommes de terre et apparentés,Contaminants inorganiques et minéraux,Cobalt,4
Légumes secs,Contaminants inorganiques et minéraux,Cobalt,1
Fruits,Contaminants inorganiques et minéraux,Cobalt,4
Fruits secs et graines oléagineuses,Contaminants inorganiques et minéraux,Cobalt,1
Glaces et desserts glacés,Contaminants inorganiques et minéraux,Cobalt,2
Chocolat,Contaminants inorganiques et minéraux,Cobalt,6
Sucres et dérivés,Contaminants inorganiques et minéraux,Cobalt,1
Eaux,Contaminants inorganiques et minéraux,Cobalt,5
Boissons fraîches sans alcool,Contaminants inorganiques et minéraux,Cobalt,2
Boissons alcoolisées,Contaminants inorganiques et minéraux,Cobalt,6
Café,Contaminants inorganiques et minéraux,Cobalt,11
Autres boissons chaudes,Contaminants inorganiques et minéraux,Cobalt,3
"Pizzas, quiches et pâtisseries salées",Contaminants inorganiques et minéraux,Cobalt,1
"Sandwiches, casse-croûte",Contaminants inorganiques et minéraux,Cobalt,1
Soupes et bouillons,Contaminants inorganiques et minéraux,Cobalt,2
Plats composés,Contaminants inorganiques et minéraux,Cobalt,3
"Entremets, crèmes desserts et laits gélifiés",Contaminants inorganiques et minéraux,Cobalt,4
Compotes et fruits cuits,Contaminants inorganiques et minéraux,Cobalt,0
Condiments et sauces,Contaminants inorganiques et minéraux,Cobalt,1
Aliments particuliers,Contaminants inorganiques et minéraux,Cobalt,0
Pain et panification sèche,Contaminants inorganiques et minéraux,Chrome,8
Céréales pour petit déjeuner,Contaminants inorganiques et minéraux,Chrome,0
Pâtes,Contaminants inorganiques et minéraux,Chrome,4
Riz et blé dur ou concassé,Contaminants inorganiques et minéraux,Chrome,2
Viennoiserie,Contaminants inorganiques et minéraux,Chrome,1
Biscuits sucrés ou salés et barres,Contaminants inorganiques et minéraux,Chrome,1
Pâtisseries et gâteaux,Contaminants inorganiques et minéraux,Chrome,4
