Famille de substances,Groupe,Aliment,Type,Unité,Nom Substance,Substance,LB,UB,MB
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Cobalt,Co,0.02039,0.02039,0.02039
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Chromium,Cr,0.18465,0.18465,0.18465
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Cuivre,Cu,1.682,1.682,1.682
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Fer,Fe,16.495,16.495,16.495
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Gallium,Ga,0.0,0.001,0.0005
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Germanium,Ge,0.003,0.003,0.0015
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Mercure,Hg,0.0,0.005,0.0025
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Potassium,K,3945.0,3945.0,3945.0
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Lithium,Li,0.0192,0.01945,0.019325
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Magnésium,Mg,491.0,491.0,491.0
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Manganese,Mn,5.8100000000000005,5.8100000000000005,5.8100000000000005
Contaminants inorg et minéraux,Biscuits sucrés ou salés et barres,barquette à la pulpe de fruit,N,µg/g,Molybdène,Mo,0.6376999999999999,0.6376999999999999,0.6376999999999999
